Num;Name;Overview;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
1;Grand Theft Auto V;Grand Theft Auto V (abreviado como GTA V o GTA 5) es un videojuego de acción-aventura de mundo abierto desarrollado por el estudio Rockstar North y;PS3;2013;Action;Take-Two Interactive;07.02;09.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
2;Grand Theft Auto V;Grand Theft Auto V (abreviado como GTA V o GTA 5) es un videojuego de acción-aventura de mundo abierto desarrollado por el estudio Rockstar North y;PS3;2013;Action;Take-Two Interactive;07.02;09.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
3;Grand Theft Auto: Vice City;Grand Theft Auto: Vice City (también conocido por su abreviatura GTA: VC o. simplemente. Vice City). es un videojuego de acción-aventura de mundo abierto en;PS2;2002;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15;95.0;62.0;8.7;730.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
4;Call of Duty: Modern Warfare 3;Call of Duty: Modern Warfare 3 (abreviado oficialmente como Call of Duty: MW3 o Modern Warfare 3 ) es un videojuego de disparos en primera persona;X360;2011;Shooter;Activision;09.04;4.24;0.13;1.32;14.73;88.0;81.0;3.4;8713.0;Infinity Ward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Call of Duty: Black Ops;Call of Duty Black Ops (comúnmente abreviado como CoD BO 1. Black Ops 1. Call of Duty BO o COD Black Ops1). es un videojuego de disparos en primera persona;X360;2010;Shooter;Activision;9.7;3.68;0.11;1.13;14.61;87.0;89.0;6.3;1454.0;Treyarch;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
7;Call of Duty: Modern Warfare 2;En Modern Warfare 2 el antagonista principal es Vladimir Makarov. un antiguo discípulo de Zakhaev quien luego de perpetrar un ataque terrorista en el aeropuerto;X360;2009;Shooter;Activision;8.52;3.59;0.08;1.28;13.47;94.0;100.0;6.3;2698.0;Infinity Ward;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
8;Call of Duty: Modern Warfare 3;Call of Duty: Modern Warfare 3 (abreviado oficialmente como Call of Duty: MW3 o Modern Warfare 3 ) es un videojuego de disparos en primera persona;X360;2011;Shooter;Activision;09.04;4.24;0.13;1.32;14.73;88.0;81.0;3.4;8713.0;Infinity Ward;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Call of Duty: Black Ops;Call of Duty Black Ops (comúnmente abreviado como CoD BO 1. Black Ops 1. Call of Duty BO o COD Black Ops1). es un videojuego de disparos en primera persona;X360;2010;Shooter;Activision;9.7;3.68;0.11;1.13;14.61;87.0;89.0;6.3;1454.0;Treyarch;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
10;Grand Theft Auto V;Grand Theft Auto V (abreviado como GTA V o GTA 5) es un videojuego de acción-aventura de mundo abierto desarrollado por el estudio Rockstar North y;PS3;2013;Action;Take-Two Interactive;07.02;09.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
11;Call of Duty: Modern Warfare 2;En Modern Warfare 2 el antagonista principal es Vladimir Makarov. un antiguo discípulo de Zakhaev quien luego de perpetrar un ataque terrorista en el aeropuerto;X360;2009;Shooter;Activision;8.52;3.59;0.08;1.28;13.47;94.0;100.0;6.3;2698.0;Infinity Ward;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
