;Name;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
1;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;7.02;9.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
2;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;7.02;9.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
3;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15;95.0;62.0;8.7;730.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
4;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9.04;4.24;0.13;1.32;14.73;88.0;81.0;3.4;8713.0;Infinity Ward, Sledgehammer Games;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
6;Call of Duty: Black Ops;X360;2010;Shooter;Activision;9.7;3.68;0.11;1.13;14.61;87.0;89.0;6.3;1454.0;Treyarch;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
7;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;8.52;3.59;0.08;1.28;13.47;94.0;100.0;6.3;2698.0;Infinity Ward;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
8;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9.04;4.24;0.13;1.32;14.73;88.0;81.0;3.4;8713.0;Infinity Ward, Sledgehammer Games;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
9;Call of Duty: Black Ops;X360;2010;Shooter;Activision;9.7;3.68;0.11;1.13;14.61;87.0;89.0;6.3;1454.0;Treyarch;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
10;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;7.02;9.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
11;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;8.52;3.59;0.08;1.28;13.47;94.0;100.0;6.3;2698.0;Infinity Ward;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
12;Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;92.0;20.0;9.2;1282.0;SquareSoft;T;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;T
13;Just Dance 2;Wii;2010;Misc;Ubisoft;5.8;2.85;0.01;0.78;9.44;74.0;24.0;7.3;24.0;Ubisoft;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
15;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5.05;2.79;0.1;0.85;8.79;96.0;89.0;8.4;3589.0;Bethesda Game Studios;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;M
16;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;92.0;53.0;8.7;1056.0;SquareSoft;T;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;T
